chain,token,tx_hash,block_or_slot,timestamp,datetime_utc,amount,sender_wallet,receiver_wallet
ethereum,USDC,0x028f0e0aaab93f0f3e7f27a076a6714c6f3c646f5e257b930604c7d8f2205dcb,25333367,0,,9999.95,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0x7c78ab5ef1d9a57eea59e7a4bed64c1e565be4b4
ethereum,USDT,0x1b17f76df2a59464bc19cd01ccd76a7b293ffded761f6747b2726a4adc19f9e1,25333812,0,,9999.60,0xa280eea668e5a76e5761f6c1337d6fb7ca023320,0x4cd00e387622c35bddb9b4c962c136462338bc31
ethereum,USDT,0x579b2bbc2e4a41ab587ffe8a8d03175778044f716e875c41194b52f4cccb01af,25333452,0,,9959.60,0xb7abd2a576bab5ee813c79c414b67ab4ccd4babd,0x6de7f839ac2c7db82bd16165d7cbc2c8991695dd
ethereum,USDT,0x21ef1c1b9fafe705f5c02f1e50fdd1d202b39b91d318a01b8d6d91990629b022,25333771,0,,9984.70,0xb7abd2a576bab5ee813c79c414b67ab4ccd4babd,0x6de7f839ac2c7db82bd16165d7cbc2c8991695dd
ethereum,USDT,0x2f93b34964fbf37f5f10fdb81665b905498ebe971e119a6ae487aaad8e639178,25333529,0,,9031.31,0xcc2f0c297e3b057a9e4a15a73dd01fa1f7a43cef,0xce5d4aa69bc7fa8ad94a6f9133ec435e8aa00359
ethereum,USDT,0x2daaaf694525bee3807edb43fe15d201b78d7a38bde13df07b541677363c0fff,25333757,0,,9999.20,0x2f1cff30b52d09eb3d29db1b8185d7dd69150685,0x7491f26a0fcb459111b3a1db2fbfc4035d096933
ethereum,USDT,0x8d15006237eba351a3f8a02f69a8d28ea7c1a673cda2d00e1ae54f6ff06bf8a2,25333072,0,,9668.20,0x18e296053cbdf986196903e889b7dca7a73882f6,0x750487cc8f6811389b9c58b2471dbd0b774db07e
ethereum,USDC,0xa1f32e928ddfc59b38b91f4525809e014bf0e9f0a5347883694036398df68892,25333274,0,,9798.90,0x1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d,0x47a713080b649d95bedc2adde38fd4f332c033fb
ethereum,USDT,0x1c696018ccc50617a20fb1cd859ae6af95b18e7cb1a7cc5ac2a062d5ddf793fa,25333593,0,,9999.99,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0xe4d5ed20d269ca01a39168121d3babf279579956
ethereum,USDT,0x6822b067d29a30d08636044131986196ffe6ae9940e71576172a6195bda40422,25333207,0,,9767.13,0x66930afa1640368ef7de973fa75f446f46901cee,0xa062a4aa62ff4744776f62830e3409f2b50bfcf7
ethereum,USDT,0x1ad5544ea5cd2d2ee20cc340912ab6a57e4bf02957826e3d6138d29552fc2c77,25333593,0,,9999.99,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0xe4d5ed20d269ca01a39168121d3babf279579956
ethereum,USDT,0x2bbf87b2856e0657e6d40ebab32c17be2d105dfa150b2c8b7f5701592856b93a,25333555,0,,9031.31,0x87c3816fd357851151d651ea790657c1ef7eb066,0xce5d4aa69bc7fa8ad94a6f9133ec435e8aa00359
ethereum,USDC,0xe5924c3d8d0251236b93056019339de8d9fa5180a44cd7c1a067f19b16cf6750,25333672,0,,9904.12,0xbbd0d4d067d5af2065b1b6fd936d93237ae1c56c,0x56db1dee7e860cc0372fd28c0bf0105337db7783
ethereum,USDT,0x38bac124da5a9bf4cac4a0d2a06d9005a780eb7611af5e21d458fc4c62529c45,25333453,0,,9959.60,0x6de7f839ac2c7db82bd16165d7cbc2c8991695dd,0x559432e18b281731c054cd703d4b49872be4ed53
ethereum,USDT,0x3929763db7266303107ea5e86c4aae0b69c273acd17b51bde06236ce625bfadd,25333194,0,,9998.40,0xae306802cceddb38e4cf1e2fa545a6759b42db1e,0x63dfe4e34a3bfc00eb0220786238a7c6cef8ffc4
ethereum,USDT,0xa81d69ce19ab988ee42c9daf564825495d390d58c8732e6f87263348feff5d3b,25333702,0,,9999.20,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,0x2f1cff30b52d09eb3d29db1b8185d7dd69150685
ethereum,USDC,0xf8f78ec1e96f84c99c9755edd793954f5a66eb17a400639010936163a9116d68,25333351,0,,9254.81,0xc9b768f9a8b7aa04edd173934dce6c85f933d330,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055
ethereum,USDC,0x5a14919a8b1c226dbb550172fb562a53f257fb20a58cdf58feca7e3bbbd091de,25333117,0,,9999.40,0xd052fd3f2a18ba68a6e4922358b789c90f98cd2d,0x05ff6964d21e5dae3b1010d5ae0465b3c450f381
ethereum,USDT,0x9a19f996fb2ad5ed74b7e3660a3853715172114de72baced1ea7d86b3d72aab1,25333103,0,,9118.32,0xb3937e5559b289292d16f043e50cc6115cc18a61,0xdbd52b8de0a805d42430466010a97215362064a4
ethereum,USDT,0x47b21f472acd5dda3e427154f57946becefaf87a18bef9540854594838a60f65,25333096,0,,9998.40,0x18e296053cbdf986196903e889b7dca7a73882f6,0x126b386744b5aefd3421d453aaee32a343622ef6
ethereum,USDC,0x8355347c2965362f7906aa908d61004df26e56c4db03351ee9ac01c0499e8b29,25333341,0,,9999.40,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,0xe02b0ab9cb43bb965d9a05461befe2fafb0b108d
ethereum,USDC,0x50d16997c3160ff78cab859b6a9cd6922764b5548d42371e7c09368d35ee7d87,25333557,0,,9266.08,0x5f7a4c11bde4f218f0025ef444c369d838ffa2ad,0x41dee1855293e4450cd67459047f372d4d818143
